"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","ADP","playerid"
"Kenley Jansen","Dodgers","4","1","2.25","0","66","40","66.0","43","16","5","98","9","0.79","13.36","1.23","1.63","2.3","36.4","3096"
"Craig Kimbrel","Red Sox","4","2","2.36","0","61","37","61.0","42","16","5","85","14","0.92","12.54","2.07","2.17","1.7","45.2","6655"
"Roberto Osuna","Astros","4","3","2.75","0","68","41","68.0","49","21","5","83","11","0.88","10.99","1.46","2.20","1.9","76.2","13764"
"Chad Green","Yankees","6","2","2.55","7","51","0","102.0","70","29","9","145","26","0.94","12.79","2.29","2.31","3.2","303.7","15552"
"Aroldis Chapman","Yankees","4","4","2.69","0","60","36","60.0","40","18","4","85","22","1.03","12.75","3.30","2.39","1.5","63.2","10233"
"Felipe Vazquez","Pirates","3","2","2.55","0","63","38","63.0","46","18","4","76","17","1.00","10.86","2.43","2.48","1.4","86.2","12076"
"Clayton Kershaw","Dodgers","17","5","2.41","28","28","0","194.0","149","52","17","225","33","0.94","10.44","1.53","2.53","6.2","7.4","2036"
"David Robertson","Yankees","4","3","2.54","0","62","3","67.0","46","19","6","95","22","1.01","12.76","2.96","2.56","1.5","306.5","8241"
"Ken Giles","Blue Jays","3","4","2.42","0","64","38","64.0","46","17","5","85","22","1.06","11.95","3.09","2.64","1.3","93.2","12910"
"Dellin Betances","Yankees","4","5","2.65","0","67","0","67.0","44","20","5","100","31","1.12","13.43","4.16","2.67","1.6","280.8","6216"
"Trevor Hildenberger","Twins","4","4","2.96","0","64","0","66.0","54","22","6","73","11","0.98","9.95","1.50","2.67","1.4","466.8","17002"
"Tommy Kahnle","Yankees","3","2","2.65","0","61","0","61.0","43","18","6","86","20","1.03","12.69","2.95","2.70","1.3","454.8","11384"
"James Paxton","Mariners","15","8","3.12","27","27","0","165.0","141","57","12","184","43","1.12","10.04","2.35","2.73","5.2","74.2","11828"
"Noah Syndergaard","Mets","13","8","2.88","27","27","0","168.0","142","54","16","196","35","1.05","10.50","1.88","2.76","4.7","28.4","11762"
"Stephen Strasburg","Nationals","16","6","2.85","29","29","0","184.0","147","58","17","221","48","1.06","10.81","2.35","2.82","5.7","25.2","10131"
"Chris Sale","Red Sox","17","8","2.99","33","33","0","218.0","176","72","27","279","43","1.00","11.52","1.78","2.85","7.2","12.0","10603"
"Brandon Morrow","Cubs","4","3","2.58","0","54","32","54.0","45","16","5","59","12","1.06","9.83","2.00","2.90","1.1","158.8","9346"
"Archie Bradley","Diamondbacks","4","3","2.55","0","67","20","70.0","59","20","5","79","23","1.17","10.16","2.96","2.90","1.4","186.3","12918"
"Chris Devenski","Astros","7","4","2.54","0","60","0","81.0","64","23","8","98","22","1.06","10.89","2.44","2.91","1.5","294.9","12763"
